|id|comment_id|comment_text|entity1|entity2|aspect|direction
0|5f686bc7b59794ca78c70902|I used T05fx before and I really appreciate the general feeling of the T64fx, which is more softer but faster than 05fx.|Butterfly-Tenergy-05-FX|Butterfly-Tenergy-64-FX|speed|l
1|5f686bc7b59794ca78c70902|I used T05fx before and I really appreciate the general feeling of the T64fx, which is more softer but faster than 05fx.|Butterfly-Tenergy-05-FX|Butterfly-Tenergy-64-FX|hardness|g
2|5f686bdbb59794ca78c7090b|T80 has a little bit more control (for me), less sensitive to spin, but T05 is spinnier.|Butterfly-Tenergy-05|Butterfly-Tenergy-80|spin|g
3|5f686bdbb59794ca78c7090b|T80 has a little bit more control (for me), less sensitive to spin, but T05 is spinnier.|Butterfly-Tenergy-05|Butterfly-Tenergy-80|control|l
4|5f686bdbb59794ca78c7090b|After testing Dignics 05 on a zlc blade after the end of last season I'm back to my primorac carbon this time with T80fx, that's a better combination for me as it gives me what I was looking for, so a bit more spin and control than T64fx.|Butterfly-Dignics-05|Butterfly-Tenergy-64-FX|spin|g
5|5f686c800ae0898b9220ac59|Tenergy has a slightly higher throw angle than Baracuda, so looping heavy chops may be a little bit easier, with a greater arc on the ball.|Butterfly-Tenergy|Donic-Baracuda|throw angle|g
6|5f686c800ae0898b9220ac59|In my personal opinion, Baracuda has more spin than Tenergy, however it lacks a little bit of power and control compared to Ten.|Butterfly-Tenergy|Donic-Baracuda|spin|l
7|5f686c800ae0898b9220ac59|Tenergy is noticeably faster than Baracuda, though not quite as spinny.|Butterfly-Tenergy|Donic-Baracuda|speed|g
8|5f686c800ae0898b9220ac59|it surprises me that Ten05 is less durable(price) and less spinny then the Baracuda.|Butterfly-Tenergy-05|Donic-Baracuda|spin|l
9|5f686cd89258cbc2661f82ff|Tenergy has a slightly higher throw angle than Baracuda, so looping heavy chops may be a little bit easier, with a greater arc on the ball.|Butterfly-Tenergy|Donic-Baracuda|throw angle|g
10|5f686cd89258cbc2661f82ff|In my personal opinion, Baracuda has more spin than Tenergy, however it lacks a little bit of power and control compared to Ten.|Butterfly-Tenergy|Donic-Baracuda|spin|l
11|5f686cd89258cbc2661f82ff|Tenergy is noticeably faster than Baracuda, though not quite as spinny.|Butterfly-Tenergy|Donic-Baracuda|speed|g
12|5f686cd89258cbc2661f82ff|it surprises me that Ten05 is less durable(price) and less spinny then the Baracuda.|Butterfly-Tenergy-05|Donic-Baracuda|spin|l
13|5f686de56da47ec32a42ce9f|Tenergy has a slightly higher throw angle than Baracuda, so looping heavy chops may be a little bit easier, with a greater arc on the ball.|Butterfly-Tenergy|Donic-Baracuda|throw angle|g
14|5f686de56da47ec32a42ce9f|In my personal opinion, Baracuda has more spin than Tenergy, however it lacks a little bit of power and control compared to Ten.|Butterfly-Tenergy|Donic-Baracuda|spin|l
15|5f686de56da47ec32a42ce9f|Tenergy is noticeably faster than Baracuda, though not quite as spinny.|Butterfly-Tenergy|Donic-Baracuda|speed|g
16|5f686de56da47ec32a42ce9f|it surprises me that Ten05 is less durable(price) and less spinny then the Baracuda.|Butterfly-Tenergy-05|Donic-Baracuda|spin|l
17|5f686f49a1e880dd66b5fddb|Also EL-S is more spin-sensitive than MX-P.|Tibhar-Evolution-EL-S|Tibhar-Evolution-MX-P|spin|g
18|5f687487f57afe037caed0e4|As for the comparison of Baracuda to Genius, they are pretty close siblings from the same generation, but I found the Baracuda a bit easier to play (softer topsheet/sponge).|Donic-Baracuda|Tibhar-Genius|hardness|l
19|5f6874cdf57afe037caed112|Also, both H3 Neo and G1 are relatively slower than MX-P and/or GA8 so you may simply be landing more balls on the table.|DHS-Hurricane-3|Tibhar-Evolution-MX-P|speed|l
20|5f6876df64fe8d59b1ff5482|EL-P has a much stiffer topsheet and an overall harder feel than EL-S.|Tibhar-Evolution-EL-P|Tibhar-Evolution-EL-S|hardness|g
